CMN_DF_000020_20140219_G00A0BX20	1015	1019	NIL02545	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	103	112	NIL02498	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1095	1101	NIL03122	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1160	1161	m.07t7hy	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1189	1193	NIL00354	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1243	1243	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1256	1257	m.0d05w3	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1261	1262	m.0d05w3	1.0	GPE/NOM
CMN_DF_000020_20140219_G00A0BX20	1274	1274	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1306	1313	NIL01676	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1397	1400	NIL03317	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1460	1461	m.0xhy94_	1.0	ORG/NOM
CMN_DF_000020_20140219_G00A0BX20	1470	1471	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1484	1485	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1494	1495	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1496	1497	m.03_3d	1.0	GPE/NOM
CMN_DF_000020_20140219_G00A0BX20	1528	1534	NIL02995	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1580	1581	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1586	1587	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	159	160	m.07t7hy	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1638	1641	NIL01271	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1689	1692	NIL01490	1.0	ORG/NAM
CMN_DF_000020_20140219_G00A0BX20	1691	1691	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1725	1728	NIL02173	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1777	1778	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	1834	1837	NIL03318	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1916	1925	NIL02843	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	1998	2001	NIL04115	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	2046	2047	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2051	2052	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2081	2084	NIL02460	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	2128	2130	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2133	2134	m.0d05w3	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2142	2143	m.0d05w3	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2171	2172	NIL02749	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	2246	2252	NIL01794	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	2298	2298	m.03_3d	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2325	2333	NIL01206	1.0	PER/NAM
CMN_DF_000020_20140219_G00A0BX20	2377	2378	m.0d05w3	1.0	GPE/NAM
CMN_DF_000020_20140219_G00A0BX20	2381	2381	m.03_3d	1.0	GPE/NAM
